State,Year,Population,Violent,Murder,Rape,Robbery,assault,Vandalism,Burglary,Larceny,GTA,Rate,Deaths,Laws,ID
KS,2014,2902507,10235,92,1483,1361,7299,80029,15921,57169,6939,11.3,329,8,20
KY,2014,4412617,9495,164,1556,3343,4432,99909,23426,70108,6375,13.9,634,7,21
LA,2014,4648990,23983,476,1382,5725,16400,161192,38541,113251,9400,19,896,12,22
MA,2014,6755124,26689,133,2202,6077,18277,125481,24951,92226,8304,3.2,226,101,25
MD,2014,5975346,26767,362,1632,9565,15208,150390,28134,109140,13116,9,546,64,24
ME,2014,1330256,1698,21,484,304,889,26427,5035,20591,801,9.4,133,11,23
MI,2014,9916306,42555,544,6364,8037,27610,202692,44328,137142,21222,11.1,1095,20,26
MN,2014,5457125,12505,88,2001,3687,6729,125377,20773,96237,8367,6.6,377,39,27
MO,2014,6063827,26882,404,2403,5592,18483,176436,35293,124769,16374,15.3,943,8,29
MS,2014,2993443,8331,259,1082,2405,4585,86887,23898,58515,4474,18.3,547,5,28
MT,2014,1023252,3361,38,558,202,2563,25525,3639,19826,2060,16.1,172,4,30
NC,2014,9940387,32718,498,2432,8411,21377,285498,79266,192609,13623,11.8,1206,30,37
ND,2014,740040,2001,23,382,175,1421,15857,2751,11559,1547,12.3,96,14,38
NE,2014,1882980,5201,53,878,1044,3226,47526,7936,35063,4527,9.5,179,22,31
NH,2014,1327996,2625,16,596,544,1469,26098,4191,21051,856,8.7,122,10,33
NJ,2014,8938844,23319,352,1280,10499,11188,154945,31707,111534,11704,5.3,468,67,34
NM,2014,2085567,12465,101,1481,2086,8797,73877,18505,49082,6290,16,340,10,35
NV,2014,2838281,18043,170,1357,5954,10562,74574,21924,42466,10184,14.8,429,11,32
NY,2014,19748858,75972,616,6025,24036,45295,339113,50738,272624,15751,4.2,875,75,36
OH,2014,11596998,33130,464,5228,12780,14658,322517,79466,224942,18109,10.3,1211,15,39
OK,2014,3879610,16052,180,1862,3073,10937,117445,29963,76719,10763,15.7,611,9,40
OR,2014,3971202,10294,84,1620,2270,6320,123142,18690,94177,10275,11.7,497,24,41
PA,2014,12793767,40298,610,3839,13545,22304,246982,45718,188211,13053,10.5,1390,37,42
